CDRs Older Than Days,CDR Παλαιότερα από Ημέρες,,
Charge Type,Τύπος φόρτισης,,
Charges Breakdown,Ανάλυση χρεώσεων,,
Charges History,Ιστορικό χρεώσεων,,
CID,CID,,
City,Πόλη,,
Clear,Σαφή,,
Client IP,IP πελάτη,,
Client User Agent,Αντιπρόσωπος χρήστη πελάτη,,
Code,Κώδικας,,
Codecs,Κωδικοποιητές,,
Commission,Επιτροπή,,
Commission Rate,Ποσοστό προμήθειας,,
Commission Reports,Εκθέσεις της Επιτροπής,,
Company,Εταιρία,,
Company Profiles,Εταιρικά προφίλ,,
Company Tax number,Αριθμός φόρου εταιρείας,,
Completed Calls,Ολοκληρωμένες κλήσεις,,
Concurrent Calls,Ταυτόχρονες κλήσεις,,
Configuration,Διαμόρφωση,,
Confirmed,Επιβεβαιωμένος,,
Connection Cost,Κόστος σύνδεσης,,
Contains,Περιέχει,,
Cost,Κόστος,,
Cost/Min,Κόστος / Ελάχ,,
Countries,Χώρες,,
Country,Χώρα,,
Country Code,Κωδικός χώρας,,
Country List,Λίστα χωρών,,
Country Reports,Αναφορές χώρας,,
Coupon Information,Πληροφορίες κουπονιού,,
Coupon Number,Αριθμός κουπονιού,,
CPS,CPS,,
Create,Δημιουργώ,,
Create Admin,Δημιουργία διαχειριστή,,
Create calltype,Δημιουργήστε τύπο κλήσης,,
Create Company Profile,Δημιουργία εταιρικού προφίλ,,
Create Customer,Δημιουργία πελάτη,,
Create Origination Rate,Δημιουργία ποσοστού προέλευσης,,
Create Product,Δημιουργία προϊόντος,,
Create Provider,Δημιουργία παρόχου,,
Create Rate Group,Δημιουργία ομάδας τιμών,,
Create Refill Coupon,Δημιουργήστε κουπόνι επαναπλήρωσης,,
Create SIP Device,Δημιουργία συσκευής SIP,,
Create Tax,Δημιουργήστε φόρο,,
Created Date,Ημερομηνία δημιουργίας,,
Creation Date,Ημερομηνία δημιουργίας,,
Credit,Πίστωση,,
Credit Limit,Πιστωτικό όριο,,
Crons,Crons,,
Currency,Νόμισμα,,
Currency Conversion Loss Percentage,Ποσοστό απώλειας μετατροπής νομίσματος,,
Currency List,Λίστα νομισμάτων,,
Customer,Πελάτης,,
Customer CDRs Report,Αναφορά CDR πελάτη,,
Customer Summary,Περίληψη πελατών,,
Customer Summary Report,Περίληψη αναφοράς πελάτη,,
Customers,Οι πελάτες,,
Dashboard,Ταμπλό,,
Database,Βάση δεδομένων,,
Date,Ημερομηνία,,
Debit,Χρέωση,,
Debug,Εντοπισμός σφαλμάτων,,
Decimal Points,Δεκαδικά σημεία,,
Default Increment,Προεπιλεγμένη αύξηση,,
Default Invoice Mode,Προεπιλεγμένη λειτουργία τιμολογίου,,
Default Tax,Προεπιλεγμένος φόρος,,
Delete,Διαγράφω,,
Deleted Accounts After Days,Διαγραμμένοι λογαριασμοί μετά από ημέρες,,
Description,Περιγραφή,,
Destination,Προορισμός,,
Dial Input Timeout,Χρονικό όριο εισόδου κλήσης,,
DID,Μήπως,,
DIDs,DIDs,,
Direction,Κατεύθυνση,,
Disable,Καθιστώ ανίκανο,,
Display records in,Εμφάνιση εγγραφών σε,,
Disposition,Διάθεση,,
Documentation,Τεκμηρίωση,,
Doesnt Contain,Δεν περιέχει,,
Domain,Τομέα,,
Draft,Προσχέδιο,,
Due Date,Ημερομηνία λήξης,,
Duplicate,Αντίγραφο,,
Duration,Διάρκεια,,
Email,ΗΛΕΚΤΡΟΝΙΚΗ ΔΙΕΥΘΥΝΣΗ,,
Email Alerts ?,Ειδοποιήσεις μέσω email,,
Email History,Ιστορικό email,,
Email History List,Λίστα ιστορικού email,,
Email Notification,Ειδοποίηση ηλεκτρονικού ταχυδρομείου,,
Email Notifications,ειδοποιήσεις ηλεκτρονικού ταχυδρομείου,,
Email Status,Κατάσταση email,,
Email Template,Πρότυπο ηλεκτρονικού ταχυδρομείου,,
Emails Older Than Days,Email παλαιότερα από τις μέρες,,
En,Εν,,
Enable,επιτρέπω,,
Enable Signup,Ενεργοποίηση εγγραφής,,
Ends With,Τελειώνει με,,
Enterprise,Επιχείρηση,,
Entity Type,Τύπος οντότητας,,
Environment,περιβάλλον,,
Ewallet Payment Gateway,Ewallet Payment Gateway,,
Expired Accounts After Days,Λήξη λογαριασμών μετά από ημέρες,,
Expiry Date,Ημερομηνία λήξης,,
Export,Εξαγωγή,,
Failover GW Name #1,Failover GW Όνομα # 1,,
Failover GW Name #2,Failover GW Όνομα # 2,,
Favicon,Favicon,,
Fax,Φαξ,,
Fee,Τέλη,,
File Path,Διαδρομή αρχείου,,
Filter,Φίλτρο,,
First Name,Ονομα,,
First Used,Χρησιμοποιήθηκε για πρώτη φορά,,
Fixer Key,Fixer κλειδί,,
FMAddon,FMAddon,,
Footer,Υποσέλιδο,,
Fraud Detection,Ανίχνευση απάτης,,
Free Minutes,Δωρεάν λεπτά,,
FreeSwitch Servers,Διακομιστές FreeSwitch,,
From,Από,,
From Date,Από την ημερομηνία,,
From Timestamp,Από τη χρονική σήμανση,,
Gateway Name,Όνομα πύλης,,
Gateways,Πύλες,,
General,Γενικός,,
General Input Timeout,Γενικό χρονικό όριο εισαγωγής,,
Generate Invoice,Δημιουργία τιμολογίου,,
Generate Pin,Δημιουργία καρφίτσας,,
Generates Alarm From System,Δημιουργεί συναγερμό από το σύστημα,,
Generates Local Number system,Δημιουργεί σύστημα τοπικού αριθμού,,
Generates ticket of issues from system,Δημιουργεί εισιτήρια ζητημάτων από το σύστημα,,
Generates Various Alarms From System,Δημιουργεί διάφορους συναγερμούς από το σύστημα,,
Generates Various Country Reports From System,Δημιουργεί διάφορες αναφορές χωρών από το σύστημα,,
Generates various reports from system,Δημιουργεί διάφορες αναφορές από το σύστημα,,
Get Addons,Λάβετε πρόσθετα,,
Get App,Λάβε την εφαρμογή,,
Global,Παγκόσμια,,
Grace Time,Χρόνος χάριτος,,
Grand Total,Σύνολο,,
Group By,Ομαδοποίηση κατά,,
Group By #1,Ομαδοποίηση κατά # 1,,
Group By #2,Ομαδοποίηση κατά # 2,,
Group By #3,Ομαδοποίηση κατά # 3,,
Group By #Time,Ομαδοποίηση κατά # Time,,
Header,Επί κεφαλής,,
Homer,Όμηρος,,
Host,Πλήθος,,
Import,Εισαγωγή,,
Import Customers,Εισαγωγή πελατών,,
Import with field map,Εισαγωγή με χάρτη πεδίου,,
Inbound,Εισερχόμενος,,
Inbound Fax,Εισερχόμενα φαξ,,
Included Seconds,Περιλαμβάνονται δευτερόλεπτα,,
Increment,Αύξηση,,
Initial Balance,Αρχικό Υπόλοιπο,,
Initial Increment,Αρχική αύξηση,,
Inovices Older Than Days,Inovices Παλαιότερα από Ημέρες,,
Install,Εγκαθιστώ,,
Installed,Εγκατεστημένο,,
Interval,Διάστημα,,
Interval Type,Τύπος διαστήματος,,
Invoice Configuration,Διαμόρφωση τιμολογίου,,
Invoice Date,Την ημερομηνία του τιμολογίου,,
Invoice Due Days,Ημέρες λήξης τιμολογίου,,
Invoice Due Notification,Ειδοποίηση οφειλόμενου τιμολογίου,,
Invoice Notification,Ειδοποίηση τιμολογίου,,
Invoice Number,Αριθμός τιμολογίου,,
Invoice Prefix,Πρόθεμα τιμολογίου,,
Invoice Start Form,Φόρμα έναρξης τιμολογίου,,
Invoices,Τιμολόγια,,
IP,IP,,
IP Settings,Ρυθμίσεις IP,,
Is Equal To,Είναι ίσο με,,
Is Not Equal To,Δεν είναι ίσο με,,
Is Purchased?,Αγοράστηκε,,
Iso,Ισο,,
Iso3,Iso3,,
IVR Count,Πλήθος IVR,,
Languages,Γλώσσες,,
Last Execution Date,Ημερομηνία τελευταίας εκτέλεσης,,
Last Modified Date,Τελευταία τροποποιημένη ημερομηνία,,
Last Name,Επίθετο,,
Last Paid Date,Ημερομηνία τελευταίας πληρωμής,,
Latest Orders,Τελευταίες παραγγελίες,,
LC Charge / Min,Χρέωση LC / Ελάχ,,
LC Charge/Min,Χρέωση LC / Ελάχ,,
Live,Ζω,,
Live Call Report,Αναφορά ζωντανών κλήσεων,,
Live Id,Ζωντανή ταυτότητα,,
Live Key,Ζωντανό κλειδί,,
Live Url,Ζωντανή διεύθυνση URL,,
Local Call Timeout,Χρονικό όριο τοπικής κλήσης,,
Local Number,Τοπικός αριθμός,,
Local Numbers,Τοπικοί αριθμοί,,
Locale code,Τοπικός κώδικας,,
Localization,Εντοπισμός,,
Localization Type,Τύπος εντοπισμού,,
Localizations,Εντοπισμοί,,
Log out,Αποσύνδεση,,
Log Path,Διαδρομή καταγραφής,,
Logo,Λογότυπο,,
Low balance Alert?,Ειδοποίηση χαμηλού υπολοίπου,,
Mail Log,Μητρώο αλληλογραφίας,,
Manually,Χειροκίνητα,,
Markup,Σήμανση,,
Mass Create,Μαζική δημιουργία,,
Mass Email,Μαζική διεύθυνση ηλεκτρονικού ταχυδρομείου,,
Max Free Length,Μέγιστο ελεύθερο μήκος,,
MCD,MCD,,
Minimum Fund Transfer,Ελάχιστη μεταφορά χρημάτων,,
Minutes,Λεπτά,,
Minutes Announcement,Ανακοίνωση Συνοπτικών Πρακτικών,,
Minutes Breakdown,Ανάλυση λεπτών,,
Moderate,Μέτριος,,
Modified Date,Τροποποιημένη ημερομηνία,,
Module,Μονάδα μέτρησης,,
Name,Ονομα,,
New Accounts,Νέοι λογαριασμοί,,
Nexmo API Key,Κλειδί API Nexmo,,
Nexmo Secret Key,Μυστικό κλειδί Nexmo,,
Next Execution Date,Επόμενη ημερομηνία εκτέλεσης,,
Nickname,Παρατσούκλι,,
No,Οχι,,
No Records Found,Δεν βρέθηκαν καταγραφές,,
Notes,Σημειώσεις,,
Notifications,Ειδοποιήσεις,,
Notify before due days,Ειδοποίηση πριν από τις προθεσμίες,,
Number,Αριθμός,,
Number Type,Τύπος αριθμού,,
 of , του ,,
Opensips,Άνοιγμα,,
Opensips DB Engine,Ανοίγει τη μηχανή DB,,
Opensips DB Host,Άνοιγμα κεντρικού υπολογιστή DB,,
Opensips DB Name,Ανοίγει το όνομα DB,,
Opensips DB Pass,Opensips DB Pass,,
Opensips DB User,Ανοίγει το χρήστη DB,,
Opensips Domain,Τομέας ανοίγματος,,
Opensource,Ανοιχτή πηγή,,
Order,Σειρά,,
Order Amount,Ποσό παραγγελίας,,
Order Date,Ημερομηνία παραγγελίας,,
Order ID,Αριθμός Παραγγελίας,,
Order Now,Παράγγειλε τώρα,,
Orders,Παραγγελίες,,
Org. Cost,Ορ. Κόστος,,
Org. Destination,Ορ. Προορισμός,,
Org. Pefix,Ορ. Πεκίξ,,
Origination Rates,Ποσοστά προέλευσης,,
Outbound Fax,Εξερχόμενο φαξ,,
Outstanding Amount INR,Εκκρεμές Ποσό INR,,
Page ,Σελίδα ,,
Password,Κωδικός πρόσβασης,,
Password Strength,Ισχύς Κωδικού Πρόσβασης,,
Payment Method,Μέθοδος πληρωμής,,
Payment Methods,μέθοδοι πληρωμής,,
Payment Status,Κατάσταση πληρωμής,,
Paypal,Paypal,,
Per Minute Cost,Κόστος ανά λεπτό,,
Phone,Τηλέφωνο,,
Pin Input Timeout,Χρονικό όριο εισαγωγής καρφιτσών,,
Pin Length,Μήκος καρφιτσών,,
Pin retries,Προσπαθήστε ξανά,,
Pinless Authentication,Έλεγχος ταυτότητας χωρίς Pin,,
Place Order,Παραγγέλνω,,
Playback Audio Notifications,Ειδοποιήσεις αναπαραγωγής ήχου,,
Port,Λιμάνι,,
Portal personalization,Εξατομίκευση πύλης,,
Powered by ASTPP,Με την υποστήριξη του ASTPP,,
Prefix,Πρόθεμα,,
Prepend,Προετοιμασία,,
Preserve,Διατηρώ,,
Price,Τιμή,,
Priority,Προτεραιότητα,,
Product Category,κατηγορία προιόντος,,
Product Details,λεπτομέρειες προιόντος,,
Product Name,Ονομασία προϊόντος,,
Products,Προϊόντα,,
Profile Action,Δράση προφίλ,,
Profit,Κέρδος,,
Provider,Προμηθευτής,,
Provider CDRs Report,Αναφορά CDR παρόχου,,
Provider Outbound,Εξερχόμενος πάροχος,,
Provider Outbound Report,Αναφορά εξερχόμενων παρόχων,,
Provider Summary Report,Συνοπτική έκθεση παρόχου,,
Province,Επαρχία,,
Province/State,ΕΠΑΡΧΙΑ,,
Proxy,Πληρεξούσιο,,
Purge,Καθαρίζω,,
Push Notifications,Ειδοποιήσεις προώθησης,,
Quantity,Ποσότητα,,
Rate,Τιμή,,
Rate Announcement,Ανακοίνωση Βαθμολογίας,,
Rate Count,Πλήθος ποσοστών,,
Rate Group,Ομάδα τιμών,,
Rate Groups,Βαθμολογήστε τις ομάδες,,
Rate Information,Βαθμολογήστε πληροφορίες,,
Ratedeck,Βαθμολογία,,
Ratedeck Information,Πληροφορίες Ratedeck,,
Rates Count,Οι τιμές μετράνε,,
Realtime Billing,Χρέωση σε πραγματικό χρόνο,,
Receiver Email,Email παραλήπτη,,
Recording Files Older Than Days,Εγγραφή αρχείων Παλαιότερες από Ημέρες,,
 Records, Εγγραφές,,
Referer Page,Σελίδα παραπομπής,,
Refill By,Συμπλήρωση από,,
Refill Coupon Length,Μήκος κουπονιού επαναπλήρωσης,,
Refill Coupons,Επαναληπτικά κουπόνια,,
Refill Report,Αναφορά ανταλλαγής,,
Refills,Ξαναγεμίζει,,
Register,Κανω ΕΓΓΡΑΦΗ,,
Release if no balance,Απελευθερώστε εάν δεν υπάρχει υπόλοιπο,,
Report a Bug,Αναφορά σφάλματος,,
Reports,Αναφορές,,
Request URI,Αίτημα URI,,
Reseller,Μεταπωλητής,,
Reseller can resell,Ο μεταπωλητής μπορεί να μεταπωλήσει,,
Reseller Summary,Περίληψη μεταπωλητή,,
Reseller Summary Report,Συνοπτική έκθεση μεταπωλητή,,
Resellers,Μεταπωλητές,,
Resellers CDRs Report,Αναφορά CDR μεταπωλητών,,
Resend Mail,Επανάληψη αποστολής αλληλογραφίας,,
Role,Ρόλος,,
Roles & Permission,Ρόλοι και άδεια,,
Roles & Permissions,Ρόλοι και δικαιώματα,,
Routing Prefix,Πρόθεμα δρομολόγησης,,
Routing Type,Τύπος δρομολόγησης,,
Sandbox,Sandbox,,
Sandbox Id,Αναγνωριστικό Sandbox,,
Sandbox Key,Κλειδί Sandbox,,
Sandbox Name,Όνομα Sandbox,,
Sandbox Url,Url Sandbox,,
Save,Σώσει,,
Schedule Reports,Προγραμματισμός αναφορών,,
Search,Αναζήτηση,,
Select File,Επιλέξτε Αρχείο,,
Select Year,Επιλέξτε Έτος,,
Services,Υπηρεσίες,,
Set Maximum Add card limit,Ορίστε το μέγιστο όριο προσθήκης κάρτας,,
Settings,Ρυθμίσεις,,
Setup Fee,Παράβολο έναρξης,,
Signup,Εγγραφείτε,,
SIP Devices,Συσκευές SIP,,
SIP IP,SIP IP,,
SIP Port,Θύρα SIP,,
SIP Profile,Προφίλ SIP,,
SIP Profiles,Προφίλ SIP,,
SMS,γραπτό μήνυμα,,
SMS Body,Σώμα SMS,,
SMS Notifications,Ειδοποιήσεις SMS,,
SMS Status,Κατάσταση SMS,,
SMTP,SMTP,,
SMTP Host,Κεντρικός υπολογιστής SMTP,,
SMTP Pass,Κάρτα SMTP,,
SMTP Port,Θύρα SMTP,,
SMTP User,Χρήστης SMTP,,
Start prefix,Έναρξη προθέματος,,
Starting Digit,Έναρξη ψηφίου,,
Status,Κατάσταση,,
Strip,Λωρίδα,,
Strong,Ισχυρός,,
Subject,Θέμα,,
Subscription,Συνδρομή,,
Supportticket,Εισιτήριο υποστήριξης,,
Switch,Διακόπτης,,
Tariff,Δασμολόγιο,,
Tax,Φόρος,,
Tax Information,Φορολογικά στοιχεία,,
Telephone,Τηλέφωνο,,
Telephone as account number,Τηλέφωνο ως αριθμός λογαριασμού,,
Templates,Πρότυπα,,
Term. Cost,Ορος. Κόστος,,
Term. Destination,Ορος. Προορισμός,,
Term. Prefix,Ορος. Πρόθεμα,,
Term. Trunk,Ορος. Κορμός,,
Termination Rates,Τιμές τερματισμού,,
Third Party,Τρίτο μέρος,,
This Month,Αυτο το μηνα,,
This Week,Αυτή την εβδομάδα,,
Timelimit Announcement,Ανακοίνωση Προθεσμίας,,
Timestamp,Χρονική σήμανση,,
Timezone,Ζώνη ώρας,,
To,Προς την,,
To Number,Στον αριθμό,,
To Timestamp,Στη χρονική σήμανση,,
Today,Σήμερα,,
Top 10 Accounts,Κορυφαίοι 10 λογαριασμοί,,
Top 10 Destinations,Κορυφαίοι 10 προορισμοί,,
Total Calls,Συνολικές κλήσεις,,
Total Charges,Συνολικές χρεώσεις,,
Total Minutes,Συνολικά λεπτά,,
Transaction ID,Ταυτότητα συναλλαγής,,
Translations,Μεταφράσεις,,
Translations Language,Γλώσσα μεταφράσεων,,
Trunk,Κορμός,,
Trunks,Κοντό πανταλόνι αθλητών,,
Type,Τύπος,,
Unpaid,Απλήρωτος,,
Update,Εκσυγχρονίζω,,
Used,Μεταχειρισμένος,,
Used Date,Ημερομηνία χρήσης,,
Username,Όνομα χρήστη,,
Version,Εκδοχή,,
Version 4.0 Beta,Έκδοση 4.0 Beta,,
View All,Προβολή όλων,,
Voicemail,Φωνητικό ταχυδρομείο,,
Panel Access,Πρόσβαση στον πίνακα,,
Profile,Προφίλ,,
Billing Settings,Ρυθμίσεις χρέωσης,,
Pin,Καρφίτσα,,
Account Settings,Ρυθμίσεις λογαριασμού,,
Notification Email,Email ειδοποίησης,,
Address,Διεύθυνση,,
NON-CLI Rate Group,Ομάδα τιμών μη-CLI,,
Billing Schedule,Πρόγραμμα χρέωσης,,
Billing Day,Ημέρα χρέωσης,,
Tax Number,ΑΦΜ,,
Invoice Note,Σημείωση τιμολογίου,,
Reference,Αναφορά,,
Cancel,Ματαίωση,,
Device Information,Πληροφορίες συσκευής,,
Voicemail Options,Επιλογές τηλεφωνητή,,
Mail To,Αποστολή σε,,
Attach File,Επισυνάψετε το αρχείο,,
Local After Email,Τοπική μετά το ηλεκτρονικό ταχυδρομείο,,
Send all Message,Αποστολή όλων των μηνυμάτων,,
Close,Κλείσε,,
IP map,Χάρτης IP,,
Identificador de llamadas,Identificador de llamadas,,
Add Caller ID,Προσθήκη αναγνωριστικού καλούντος,,
Create Reseller,Δημιουργία μεταπωλητή,,
Role Name,Όνομα ρόλου,,
Outstanding Amount,Εξωπραγματική ποσότητα,,
To Date,Μέχρι σήμερα,,
Before Balance,Πριν το υπόλοιπο,,
Commission Report,Έκθεση της Επιτροπής,,
MonthlyFee,Μηνιαία χρέωση,,
Grace Time (Sec.),Χρόνος χάριτος (δευτ.),,
Import DIDs,Εισαγωγή DID,,
File must be in the following format,Το αρχείο πρέπει να έχει την ακόλουθη μορφή,,
DID Import Process,Διαδικασία εισαγωγής DID,,
Get Sample file,Λήψη δείγματος αρχείου,,
Check Header,Ελέγξτε την κεφαλίδα,,
Select the file,Επιλέξτε το αρχείο,,
Account Count,Αριθμός λογαριασμού,,
Acc. Number Length,Οδ. Μήκος αριθμού,,
Valid Days,Έγκυρες ημέρες,,
Create Access Number,Δημιουργία αριθμού πρόσβασης,,
Information,Πληροφορίες,,
Import Access Numbers,Εισαγωγή αριθμών πρόσβασης,,
Access Numbers Import Process,Διαδικασία εισαγωγής αριθμών πρόσβασης,,
DIDs Bulk Assign,Μαζική εκχώρηση DIDs,,
Bulk DID Purchase,Μαζική αγορά DID,,
Provience,Παροχή,,
Assign Number,Εκχώρηση αριθμού,,
DID Destination,DID Προορισμός,,
DID Forward,Μήπως προωθήθηκε,,
Always,Πάντα,,
If Busy,Εάν απασχολημένος,,
If SIP Not Registered,Εάν το SIP δεν είναι εγγεγραμμένο,,
If No Answer,Εάν δεν υπάρχει απάντηση,,
New Rate Group Name,Όνομα ομάδας νέας τιμής,,
Duplicate Rate Group Information,Διπλότυπες πληροφορίες ομάδας τιμών,,
Import Origination Rates,Τιμές προέλευσης εισαγωγής,,
Force Trunk,Δύναμη κορμού,,
Please select atleast one record to dele,Επιλέξτε τουλάχιστον μία εγγραφή για να διαγράψετε,,
Import Ratedeck,Εισαγωγή Ratedeck,,
Optional Information,προαιρετική πληροφορία,,
From- Domain,Από - Τομέας,,
From User,Από χρήστη,,
Extension,Επέκταση,,
Extension-In-Contact,Επέκταση σε επαφή,,
Ping,Πινγκ,,
Contact Params,Επικοινωνήστε με το Params,,
Retry-Seconds,Επανάληψη δευτερολέπτων,,
Register-Proxy,Εγγραφή-διακομιστής μεσολάβησης,,
Channel,Κανάλι,,
Failover GW Name,Όνομα GW Failover,,
Create Trunk,Δημιουργία κορμού,,
Import Termination Rates,Τιμές τερματισμού εισαγωγής,,
Call Timeout (Sec.),Χρονικό όριο κλήσεων (δευτ.),,
Trunk List,Λίστα κορμών,,
Reset,Επαναφορά,,
Create SIP Profile,Δημιουργία προφίλ SIP,,
Create Freeswitch Server,Δημιουργία διακομιστή Freeswitch,,
Live Calls,Ζωντανές κλήσεις,,
Term Cost,Κόστος διάρκειας,,
Term Destination,Προορισμός όρου,,
Term Prefix,Πρόθεμα όρου,,
Localizaciones,Τοπικά,,
Create Localization,Δημιουργία τοπικής προσαρμογής,,
Origination,Προέλευση,,
Termination,Λήξη,,
Inbound Callerid Translation,Inbound Callerid Μετάφραση,,
Destination Number Translation,Μετάφραση αριθμού προορισμού,,
Outbound Callerid Translation,Εξερχόμενη μετάφραση Callerid,,
Create Call Barring,Δημιουργία φραγής κλήσεων,,
Callbarring Settings,Ρυθμίσεις Callbarring,,
Product Summary Report,Αναφορά περίληψης προϊόντος,,
SIP User,Χρήστης SIP,,
Product,Προϊόν,,
Taxes,Φόροι,,
Update Currencies,Ενημέρωση νομισμάτων,,
File Name,Ονομα αρχείου,,
Database Information,Πληροφορίες βάσης δεδομένων,,
Database Backup,Δημιουργία αντιγράφων ασφαλείας βάσης δεδομένων,,
Command,Εντολή,,
Cron Settings,Ρυθμίσεις Cron,,
Create Cron Settings,Δημιουργία ρυθμίσεων Cron,,
Stripe,Ταινία,,
Live Secret key,Ζωντανό μυστικό κλειδί,,
Live Publishable key,Ζωντανό δημοσιευμένο κλειδί,,
Set Percentage Charges,Ορισμός ποσοστιαίων χρεώσεων,,
Set Fix Charges,Ορίστε τις επιδιορθώσεις χρεώσεων,,
Stripe Mode,Λειτουργία λωρίδας,,
Sandbox secret key,Μυστικό κλειδί Sandbox,,
Sandbox publishable key,Δημοσιεύσιμο κλειδί Sandbox,,
Version 4.0 Enterprise,Έκδοση 4.0 Enterprise,,
Powered by,Υποστηρίζεται από,,
Import Customer Using Field Mapper,Εισαγωγή πελάτη με χρήση του Field Mapper,,
You must either select a field from your,Πρέπει είτε να επιλέξετε ένα πεδίο από το δικό σας,,
Records with duplicate account number an,Εγγραφές με διπλό αριθμό λογαριασμού,,
Account Import Error,Σφάλμα εισαγωγής λογαριασμού,,
Back to Customer List,Επιστροφή στη λίστα πελατών,,
Duplicate accounts with account number /,Διπλότυποι λογαριασμοί με αριθμό λογαριασμού /,,
Records imported successfully,Οι εγγραφές εισήχθησαν με επιτυχία,,
Records not imported,Δεν έχουν εισαχθεί εγγραφές,,
Error In CSV File,Σφάλμα στο αρχείο CSV,,
Invoice Summary,Περίληψη τιμολογίων,,
Customer Details,Πληροφορίες Πελάτη,,
Invoice Details,Λεπτομέρειες τιμολογίου,,
Account Number,Αριθμός λογαριασμού,,
Invoice Amount,Ποσό τιμολογίου,,
Invoice Item,Στοιχείο τιμολογίου,,
Sub Total,ΜΕΡΙΚΟ ΣΥΝΟΛΟ,,
Total Due,Σύνολο οφειλών,,
Note,Σημείωση,,
Add Setting,Προσθήκη ρύθμισης,,
Edit SIP Profile,Επεξεργασία προφίλ SIP,,
New,Νέος,,
Used?,Μεταχειρισμένος?,,
View Email,Προβολή email,,
Active,Ενεργός,,
Inactive,Αδρανής,,
Black List,Μαύρη λίστα,,
White List,Λευκή λίστα,,
Freeswitch Server Information,Πληροφορίες διακομιστή Freeswitch,,
Currencies,Νομίσματα,,
Edit Currency,Επεξεργασία νομίσματος,,
