English,French
Dial Input Timeout,Délai d'attente de l'entrée de numérotation
DID,A FAIT
DIDs,DID
Direction,Direction
Disable,Désactiver
Display records in,Afficher les enregistrements dans
Disposition,Disposition
Documentation,Documentation
Doesnt Contain,Ne contient pas
Domain,Domaine
Draft,Brouillon
Due Date,Date d'échéance
Duplicate,Dupliquer
Duration,Durée
Email,E-mail
Email Alerts ?,Alertes courrier électronique ?
Email History,Historique des e-mails
Email History List,Liste de l'historique des e-mails
Email Notification,Notification par e-mail
Email Notifications,Notifications par email
Email Status,Statut de l'e-mail
Email Template,Modèle d'e-mail
Emails Older Than Days,E-mails de plus de jours
En,Fr
Enable,Activer
Enable Signup,Activer l'inscription
Ends With,Se termine par
Enterprise,Entreprise
Entity Type,Type d'entité
Environment,Environnement
Ewallet Payment Gateway,Passerelle de paiement Ewallet
Expired Accounts After Days,Comptes expirés après des jours
Expiry Date,Date d'expiration
Export,Exportation
Failover GW Name #1,Nom GW de basculement n ° 1
Failover GW Name #2,Nom GW de basculement n ° 2
Favicon,Favicon
Fax,Fax
Fee,Frais
File Path,Chemin du fichier
Filter,Filtre
First Name,Prénom
First Used,Première utilisation
Fixer Key,Clé de fixateur
FMAddon,FMAddon
Footer,Bas de page
Fraud Detection,Détection de fraude
Free Minutes,Minutes gratuites
FreeSwitch Servers,Serveurs FreeSwitch
From,De
From Date,Partir de la date
From Timestamp,À partir de l'horodatage
Gateway Name,Nom de la passerelle
Gateways,Passerelles
General,Général
General Input Timeout,Temporisation d'entrée générale
Generate Invoice,Générer une facture
Generate Pin,Générer une épingle
Generates Alarm From System,Génère une alarme à partir du système
Generates Local Number system,Génère un système de numéro local
Generates ticket of issues from system,Génère un ticket de problèmes à partir du système
Generates Various Alarms From System,Génère diverses alarmes à partir du système
Generates Various Country Reports From System,Génère divers rapports de pays à partir du système
Generates various reports from system,Génère divers rapports à partir du système
Get Addons,Obtenez des addons
Get App,Obtenir l'application
Global,Global
Grace Time,Temps de grâce
Grand Total,Total
Group By,Par groupe
Group By #1,Grouper par # 1
Group By #2,Grouper par # 2
Group By #3,Grouper par # 3
Group By #Time,Regrouper par #Time
Header,Entête
Homer,Homère
Host,Hôte
Import,Importer
Import Customers,Importer des clients
Import with field map,Importer avec carte de terrain
Inbound,Entrant
Inbound Fax,Fax entrant
Included Seconds,Secondes incluses
Increment,Incrément
Initial Balance,Balance initiale
Initial Increment,Incrément initial
Inovices Older Than Days,Inovices plus vieux que jours
Install,Installer
Installed,installée
Interval,Intervalle
Interval Type,Type d'intervalle
Invoice Configuration,Configuration de la facture
Invoice Date,Date de la facture
Invoice Due Days,Jours d'échéance de la facture
Invoice Due Notification,Notification d'échéance de la facture
Invoice Notification,Notification de facture
Invoice Number,Numéro de facture
Invoice Prefix,Préfixe de facture
Invoice Start Form,Formulaire de début de facture
Invoices,Les factures
IP,IP
IP Settings,Paramètres IP
Is Equal To,Est égal à
Is Not Equal To,N'est pas égal à
Is Purchased?,Est acheté?
Iso,Iso
Iso3,Iso3
IVR Count,Compte IVR
Languages,Langues
Last Execution Date,Date de la dernière exécution
Last Modified Date,Date de la dernière modification
Last Name,Nom de famille
Last Paid Date,Date du dernier paiement
Latest Orders,Dernières commandes
LC Charge / Min,Charge LC / Min
LC Charge/Min,Charge LC / Min
Live,Vivre
Live Call Report,Rapport d'appel en direct
Live Id,Identifiant en direct
Live Key,Clé en direct
Live Url,URL en direct
Local Call Timeout,Délai d'expiration des appels locaux
Local Number,Nombre local
Local Numbers,Numéros locaux
Locale code,Code local
Localization,Localisation
Localization Type,Type de localisation
Localizations,Localisations
Log out,Se déconnecter
Log Path,Chemin du journal
Logo,Logo
Low balance Alert?,Alerte de solde faible?
Mail Log,Courrier électronique
Manually,Manuellement
Markup,Balisage
Mass Create,Créer en masse
Mass Email,E-mail de masse
Max Free Length,Longueur libre maximale
MCD,MCD
Minimum Fund Transfer,Transfert de fonds minimum
Minutes,Minutes
Minutes Announcement,Annonce du procès-verbal
Minutes Breakdown,Répartition des minutes
Moderate,Modérer
Modified Date,Date modifiée
Module,Module
Name,Nom
New Accounts,Nouveaux comptes
Nexmo API Key,Clé d'API Nexmo
Nexmo Secret Key,Clé secrète Nexmo
Next Execution Date,Date de la prochaine exécution
Nickname,Surnom
No,Non
No Records Found,Aucun enregistrement trouvé
Notes,Remarques
Notifications,Notifications
Notify before due days,Notifier avant les jours d'échéance
Number,Nombre
Number Type,Type de numéro
 of , de 
Opensips,Openips
Opensips DB Engine,Moteur de base de données OpenSips
Opensips DB Host,Hôte de base de données OpenSips
Opensips DB Name,Nom de la base de données OpenSips
Opensips DB Pass,OpenSips DB Pass
Opensips DB User,Utilisateur de la base de données Opensips
Opensips Domain,Domaine OpenSips
Opensource,Open source
Order,Ordre
Order Amount,Montant de la commande
Order Date,Date de commande
Order ID,numéro de commande
Order Now,Commandez maintenant
Orders,Ordres
Org. Cost,Org. Coût
Org. Destination,Org. Destination
Org. Pefix,Org. Pefix
Origination Rates,Taux d'origination
Outbound Fax,Fax sortant
Outstanding Amount INR,Montant impayé INR
Page ,Page 
Password,Mot de passe
Password Strength,Fiabilité du mot de passe
Payment Method,Mode de paiement
Payment Methods,méthodes de payement
Payment Status,Statut de paiement
Paypal,Pay Pal
Per Minute Cost,Coût par minute
Phone,Téléphoner
Pin Input Timeout,Délai d'entrée de la broche
Pin Length,Longueur de la broche
Pin retries,Épingler les tentatives
Pinless Authentication,Authentification sans pin
Place Order,Passer la commande
Playback Audio Notifications,Lecture des notifications audio
Port,Port
Portal personalization,Personnalisation du portail
Powered by ASTPP,Propulsé par ASTPP
Prefix,Préfixe
Prepend,Prepend
Preserve,Préserver
Price,Prix
Priority,Priorité
Product Category,catégorie de produit
Product Details,détails du produit
Product Name,Nom du produit
Products,Des produits
Profile Action,Action de profil
Profit,Profit
Provider,Fournisseur
Provider CDRs Report,Rapport sur les CDR du fournisseur
Provider Outbound,Fournisseur sortant
Provider Outbound Report,Rapport sortant du fournisseur
Provider Summary Report,Rapport récapitulatif du fournisseur
Province,Province
Province/State,Province / État
Proxy,Procuration
Purge,Purge
Push Notifications,Notifications push
Quantity,Quantité
Rate,Taux
Rate Announcement,Annonce de taux
Rate Count,Compte de taux
Rate Group,Groupe de taux
Rate Groups,Groupes de taux
Rate Information,Informations sur les tarifs
Ratedeck,Ratedeck
Ratedeck Information,Informations sur le évalué
Rates Count,Compte des taux
Realtime Billing,Facturation en temps réel
Receiver Email,E-mail du destinataire
Recording Files Older Than Days,Enregistrement de fichiers de plus de jours
 Records, Registres
Referer Page,Page de référence
Refill By,Remplir par
Refill Coupon Length,Longueur du coupon de recharge
Refill Coupons,Recharges de coupons
Refill Report,Rapport de remplissage
Refills,Recharges
Register,S'inscrire
Release if no balance,Libérer si aucun solde
Report a Bug,Signaler un bug
Reports,Rapports
Request URI,Demander l'URI
Reseller,Revendeur
Reseller can resell,Le revendeur peut revendre
Reseller Summary,Récapitulatif du revendeur
Reseller Summary Report,Rapport récapitulatif des revendeurs
Resellers,Revendeurs
Resellers CDRs Report,Rapport sur les CDR des revendeurs
Resend Mail,Renvoyer le courrier
Role,Rôle
Roles & Permission,Rôles et autorisations
Roles & Permissions,Rôles et autorisations
Routing Prefix,Préfixe de routage
Routing Type,Type de routage
Sandbox,bac à sable
Sandbox Id,Identifiant du bac à sable
Sandbox Key,Clé du bac à sable
Sandbox Name,Nom du bac à sable
Sandbox Url,URL du bac à sable
Save,Sauvegarder
Schedule Reports,Planifier des rapports
Search,Rechercher
Select File,Choisir le dossier
Select Year,Sélectionnez l'année
Services,Prestations de service
Set Maximum Add card limit,Définir la limite maximale d'ajout de cartes
Settings,Paramètres
Setup Fee,Frais d'installation
Signup,Inscrivez-vous
SIP Devices,Appareils SIP
SIP IP,IP SIP
SIP Port,Port SIP
SIP Profile,Profil SIP
SIP Profiles,Profils SIP
SMS,SMS
SMS Body,Corps du SMS
SMS Notifications,Notifications par SMS
SMS Status,État du SMS
SMTP,SMTP
SMTP Host,Hôte SMTP
SMTP Pass,Passe SMTP
SMTP Port,Port SMTP
SMTP User,Utilisateur SMTP
Start prefix,Préfixe de début
Starting Digit,Chiffre de départ
Status,Statut
Strip,Déshabiller
Strong,Fort
Subject,Matière
Subscription,Abonnement
Supportticket,Supportticket
Switch,Changer
Tariff,Tarif
Tax,Impôt
Tax Information,Informations fiscales
Telephone,Téléphone
Telephone as account number,Téléphone comme numéro de compte
Templates,Modèles
Term. Cost,Terme. Coût
Term. Destination,Terme. Destination
Term. Prefix,Terme. Préfixe
Term. Trunk,Terme. Tronc
Termination Rates,Taux de résiliation
Third Party,Tierce personne
This Month,Ce mois-ci
This Week,Cette semaine
Timelimit Announcement,Annonce de délai
Timestamp,Horodatage
Timezone,Fuseau horaire
To,À
To Number,Au numéro
To Timestamp,Vers l'horodatage
Today,Aujourd'hui
Top 10 Accounts,Top 10 des comptes
Top 10 Destinations,Top 10 des destinations
Total Calls,Total des appels
Total Charges,Charges totales
Total Minutes,Minutes totales
Transaction ID,identifiant de transaction
Translations,Traductions
Translations Language,Langue des traductions
Trunk,Tronc
Trunks,Les troncs
Type,Taper
Unpaid,Non payé
Update,Mettre à jour
Used,Utilisé
Used Date,Date d'utilisation
Username,Nom d'utilisateur
Version,Version
Version 4.0 Beta,Version 4.0 bêta
View All,Voir tout
Voicemail,Messagerie vocale
Panel Access,Accès au panneau
Profile,Profil
Billing Settings,Paramètres de facturation
Pin,Épingler
Account Settings,Paramètres du compte
Notification Email,Email de notification
Address,Adresse
NON-CLI Rate Group,Groupe de tarifs NON CLI
Billing Schedule,Calendrier de facturation
Billing Day,Jour de facturation
Tax Number,Numéro d'identification fiscale
Invoice Note,Note sur la facture
Reference,Référence
Cancel,Annuler
Device Information,Informations sur l'appareil
Voicemail Options,Options de messagerie vocale
Mail To,Mail à
Attach File,Pièce jointe
Local After Email,Local après e-mail
Send all Message,Envoyer tout le message
Close,Fermer
IP map,Carte IP
Identificador de llamadas,Identificador de llamadas
Add Caller ID,Ajouter l'identifiant de l'appelant
Create Reseller,Créer un revendeur
Role Name,Nom de rôle
Outstanding Amount,Encours
To Date,À ce jour
Before Balance,Avant l'équilibre
Commission Report,Rapport de commission
MonthlyFee,Redevance mensuelle
Grace Time (Sec.),Temps de grâce (Sec.)
Import DIDs,Importer des DID
File must be in the following format,Le fichier doit être au format suivant
DID Import Process,Processus d'importation DID
Get Sample file,Obtenir un fichier d'exemple
Check Header,Vérifier l'en-tête
Select the file,Sélectionnez le fichier
Account Count,Compte de compte
Acc. Number Length,Acc. Longueur du nombre
Valid Days,Jours valides
Create Access Number,Créer un numéro d'accès
Information,Informations
Import Access Numbers,Importer les numéros d'accès
Access Numbers Import Process,Processus d'importation des numéros d'accès
DIDs Bulk Assign,Attribution groupée des DID
Bulk DID Purchase,Achat DID en vrac
Provience,Provience
Assign Number,Attribuer un numéro
DID Destination,Destination DID
DID Forward,DID Forward
Always,Toujours
If Busy,Si occupé
If SIP Not Registered,Si SIP n'est pas enregistré
If No Answer,Si pas de réponse
New Rate Group Name,Nouveau nom de groupe de tarifs
Duplicate Rate Group Information,Informations sur les groupes de tarifs en double
Import Origination Rates,Importer les taux d'origination
Force Trunk,Tronc de force
Please select atleast one record to dele,Veuillez sélectionner au moins un enregistrement à supprimer
Import Ratedeck,Importer Ratedeck
Optional Information,information optionnelle
From- Domain,De- Domaine
From User,De l'utilisateur
Extension,Extension
Extension-In-Contact,Extension en contact
Ping,Ping
Contact Params,Paramètres de contact
Retry-Seconds,Réessayer en secondes
Register-Proxy,S'inscrire-Proxy
Channel,Canal
Failover GW Name,Nom GW de basculement
Create Trunk,Créer un tronc
Import Termination Rates,Taux de terminaison d'importation
Call Timeout (Sec.),Délai d'appel (Sec.)
Trunk List,Liste des troncs
Reset,Réinitialiser
Create SIP Profile,Créer un profil SIP
Create Freeswitch Server,Créer un serveur Freeswitch
Live Calls,Appels en direct
Term Cost,Coût à terme
Term Destination,Destination du terme
Term Prefix,Préfixe du terme
Localizaciones,Localizaciones
Create Localization,Créer une localisation
Origination,Création
Termination,Résiliation
Inbound Callerid Translation,Traduction de l'appelant entrant
Destination Number Translation,Traduction du numéro de destination
Outbound Callerid Translation,Traduction de l'appelant sortant
Create Call Barring,Créer une interdiction d'appels
Callbarring Settings,Paramètres de contrôle des appels
Product Summary Report,Rapport récapitulatif du produit
SIP User,Utilisateur SIP
Product,Produit
Taxes,Les impôts
Update Currencies,Mettre à jour les devises
File Name,Nom de fichier
Database Information,Informations sur la base de données
Database Backup,Sauvegarde de la base de données
Command,Commander
Cron Settings,Paramètres Cron
Create Cron Settings,Créer des paramètres Cron
Stripe,Bande
Live Secret key,Clé secrète en direct
Live Publishable key,Clé publiable en direct
Set Percentage Charges,Définir les frais de pourcentage
Set Fix Charges,Définir les frais fixes
Stripe Mode,Mode Stripe
Sandbox secret key,Clé secrète du bac à sable
Sandbox publishable key,Clé publiable du bac à sable
Version 4.0 Enterprise,Entreprise version 4.0
Powered by,Alimenté par
Import Customer Using Field Mapper,Importer un client à l'aide du mappeur de champs
You must either select a field from your,Vous devez soit sélectionner un champ dans votre
Records with duplicate account number an,Enregistrements avec numéro de compte en double un
Account Import Error,Erreur d'importation de compte
Back to Customer List,Retour à la liste des clients
Duplicate accounts with account number /,Comptes en double avec numéro de compte /
Records imported successfully,Enregistrements importés avec succès
Records not imported,Enregistrements non importés
Error In CSV File,Erreur dans le fichier CSV
Invoice Summary,Résumé de la facture
Customer Details,Détails du client
Invoice Details,Détails de la facture
Account Number,Numéro de compte
Invoice Amount,Montant de la facture
Invoice Item,Article de facture
Sub Total,Sous-total
Total Due,Total dû
Note,Noter
Add Setting,Ajouter un paramètre
Edit SIP Profile,Modifier le profil SIP
New,Nouveau
Used?,Utilisé?
View Email,Afficher l'e-mail
Active,actif
Inactive,Inactif
Black List,Liste noire
White List,Liste blanche
Freeswitch Server Information,Informations sur le serveur Freeswitch
Currencies,Devises
Edit Currency,Modifier la devise
Is Distributor,Est distributeur
Package created successfully!,Package créé avec succès!
DID Removed Successfully.,DID supprimé avec succès.
DID not found.,DID introuvable.
Password changed Sucessfully....!!!,Mot de passe changé avec succès .... !!!
New Password & Conformpassword not match,Le nouveau mot de passe et le mot de passe conforme ne correspondent pas
Invalid old passwword.,Ancien mot de passe non valide.
Permission Denied!,Permission refusée!
Refill Coupon amount is added successful,Le montant du coupon de recharge est ajouté avec succès
PLease upload maximum file,Veuillez télécharger le fichier maximum
files added successfully!,fichiers ajoutés avec succès!
File Uploading Fail Please Try Again,"Échec du téléchargement du fichier, veuillez réessayer"
Please upload only image!,Veuillez télécharger uniquement l'image!
Invoice config updated successfully!,La configuration de la facture a été mise à jour avec succès!
Your Profile Updated Successfully!,Votre profil a été mis à jour avec succès!
Something wrong.Please contact to admini,"Quelque chose ne va pas, veuillez contacter l'administrateur"
DID Released Successfully!,DID est sorti avec succès!
IP already exist in system.,IP existe déjà dans le système.
IP Added Sucessfully.,IP ajoutée avec succès.
IP Removed Sucessfully.,IP supprimée avec succès.
SIP Device Updated Successfully!,Périphérique SIP mis à jour avec succès!
SIP Device Added Successfully!,Périphérique SIP ajouté avec succès!
SIP Device Removed Sucessfully!,Périphérique SIP supprimé avec succès!
Caller ID Added Sucessfully!,Identification de l'appelant ajoutée avec succès!
Please Enter Caller ID value.,Veuillez saisir la valeur de l'ID de l'appelant.
Caller ID already Exists.,L'identification de l'appelant existe déjà.
Caller ID removed sucessfully!,Identification de l'appelant supprimée avec succès!
Alert Threshold Updated Successfully!,Seuil d'alerte mis à jour avec succès!
Can not trnasfer fund to postpaid custom,Impossible de transférer des fonds vers des services postpayés personnalisés
Access Denied! unable transfer fund to t,Accès refusé! impossible de transférer le fonds à t
You can not transfer fund in same accoun,Vous ne pouvez pas transférer de fonds dans le même compte
You can only transfer fund in same level,Vous ne pouvez transférer des fonds qu'au même niveau
Please enter To account number.,Veuillez entrer le numéro de compte.
Please enter valid amount.,Veuillez saisir un montant valide.
You have insufficient balance.,Vous avez un solde insuffisant.
Please enter valid account number.,Veuillez saisir un numéro de compte valide.
Please enter amount greater then 0.,Veuillez saisir un montant supérieur à 0.
You need to enter minimum for fund trans,Vous devez entrer le minimum pour le transfert de fonds
Please enter valid account number!,Veuillez saisir un numéro de compte valide!
Insuffiecient amount !,Montant insuffisant!
Transfer successfully!,Transférer avec succès!
Account number not found.,Numéro de compte introuvable.
OpenSips updated successfully!,OpenSips mis à jour avec succès!
Duplicate Username Found.Username Must b,Nom d'utilisateur en double trouvé.
User name is required field.,Le nom d'utilisateur est un champ obligatoire.
Opensips Device Removed Successfully!.,Le périphérique OpenSips a été supprimé avec succès !.
Speed-dial Number Added Successfully!,Numéro abrégé ajouté avec succès!
Can not delete blank speeddial number,Impossible de supprimer le numéro abrégé vierge
Speed-dial Number Removed Successfully!,Numéro abrégé supprimé avec succès!
Pin Updated Successfully!,Épingle mise à jour avec succès!
DID Updated Successfully!,DID mis à jour avec succès!
for fund transfer.,pour le transfert de fonds.
You need to enter minimum,Vous devez entrer le minimum
please enter recharge value,veuillez saisir la valeur de recharge
New Password,nouveau mot de passe
Old Password,ancien mot de passe
Conform Password,Mot de passe conforme
Letters only please,Lettres seulement s'il vous plaît
IP Mapping,Cartographie IP
The Coupon Number field must contain onl,Le champ Numéro de coupon ne doit contenir que
The Coupon Number field have inactive re,Le champ Numéro de coupon est inactif
This Coupon Number is already in use.,Ce numéro de coupon est déjà utilisé.
This Coupon Number is not found.,Ce numéro de coupon est introuvable.
The Coupon Number field is required.,Le champ Numéro de coupon est obligatoire.
REFILL COUPON RECHARGE,RECHARGE DU COUPON DE RECHARGE
You just recharged,Vous venez de recharger
account with The new balance will be,compte avec Le nouveau solde sera
My Profile,Mon profil
My Account,Mon compte
Alert Threshold,Seuil d'alerte
The Caller ID field is required.,Le champ ID de l'appelant est obligatoire.
Change Password,Changer le mot de passe
Bill Type,Type de facture
Bill Days,Bill Days
New Products,Nouveaux produits
Active Products,Produits actifs
Outstanding,Exceptionnel
Todays Calls,Appels du jour
Recent Calls,Appels récents
The Available DIDs field is required.,Le champ DID disponibles est obligatoire.
Please enter your password,s'il vous plait entrez votre mot de passe
Please enter your first name,Entrez votre prénom s'il vous plait
Please enter your email,Veuillez entrer votre email
Please enter valid email,Veuillez saisir une adresse e-mail valide
This field is required.,Ce champ est requis.
Email Setting,Paramètres de messagerie
SMTP Password,Mot de passe SMTP
Are you sure want to remove logo?,Voulez-vous vraiment supprimer le logo?
The IP field must contain a unique value,Le champ IP doit contenir une valeur unique
The IP field have not valid IP.,Le champ IP n'a pas d'adresse IP valide.
The IP field is required.,Le champ IP est obligatoire.
The Name field is required.,Il est requis de compléter le champ correspondant au nom.
Please enter only alpha-numeric value,Veuillez saisir uniquement une valeur alphanumérique
Are you sure want to delete speed dial r,Voulez-vous vraiment supprimer la numérotation abrégée r
Generated Date,Date de génération
My Products,Mes produits
Pinless CLI,CLI sans broches
Refill Coupon,Recharge Coupon
TopUp,TopUp
Pay with Paypal,Payer avec PayPal
Pay with Card,Payer par carte
Assign,Attribuer
Send Credit,Envoyer un crédit
To Account,Estimer
From Account,Du compte
Transfer,Transfert
Telephone 1,Téléphone 1
Telephone 2,Téléphone 2
Address 2,Adresse 2
Zip/Postal Code,Zip / code postal
User Profile,Profil de l'utilisateur
Low Balance Alert Level,Niveau d'alerte d'équilibre bas
Enable Email Alerts ?,Activer les alertes par e-mail?
Low Balance Alert Email,E-mail d'alerte de solde faible
User name,Nom d'utilisateur
Something went to wrong !,Un problème est survenu!
Product Purchased successfully !,Produit acheté avec succès!
Insufficent Balance to purchase product,Solde insuffisant pour acheter le produit
Product assigned successfully!,Produit attribué avec succès!
Something went wrong !,Un problème est survenu!
Product Not Found,Produit non trouvé
Transaction has been failed,La transaction a échoué
not inserted. Transaction has been faile,pas inséré. La transaction a échoué
Select Customer.,Sélectionnez Client.
Product Information,Information produit
Price+SetUp Fee,Prix ​​+ frais d'installation
Use Voucher,Utiliser le bon
Amount Without Tax,Montant sans taxe
Total Tax,Taxe total
Amount With Tax,Montant avec taxe
Parent Products,Produits parents
Edit Product,Modifier le produit
Product updated successfully!,Produit mis à jour avec succès!
Product added successfully!,Produit ajouté avec succès!
Product removed successfully!,Produit supprimé avec succès!
Product optin successfully!,Option de produit avec succès!
Edit Info,Modifier les informations
Product assign successfully,Attribuer le produit avec succès
Insufficient balance to assign product!,Solde insuffisant pour attribuer le produit!
Terminated Updated Successfully!,Terminé mis à jour avec succès!
Terminated,Terminé
Setup Cost,Coût d'installation
Order New,Commander nouveau
Caller ID updated successfully!,L'identifiant de l'appelant a été mis à jour avec succès!
Caller ID added successfully!,L'identification de l'appelant a été ajoutée avec succès!
Caller ID removed successfully!,Identification de l'appelant supprimée avec succès!
Name is not contain any space,Le nom ne contient aucun espace
Name already exist in system.,Le nom existe déjà dans le système.
Callbarring Settings Updated Successfull,Mise à jour réussie des paramètres d'appel
allbarring Settings Added Successfully!,Les paramètres allbarring ont été ajoutés avec succès!
Call Barring Removed Successfully!,Interdiction d'appels supprimée avec succès!
Calltype already exist in system.,Le type d'appel existe déjà dans le système.
Calltype Updated Successfully!,Calltype mis à jour avec succès!
Calltype Added Successfully!,Calltype ajouté avec succès!
calltype removed successfully!,calltype supprimé avec succès!
File must be in the following format(.cs,Le fichier doit être au format suivant (.cs
Import Package Codes:,Importer les codes de package:
Records Imported Successfully:,Enregistrements importés avec succès:
Records Not Imported :,Enregistrements non importés:
Download Errors,Erreurs de téléchargement
Back to Package Patterns List,Retour à la liste des modèles de package
Add To List,Ajouter à la liste
Routing Prefix already exist in system.,Le préfixe de routage existe déjà dans le système.
Rate Group Updated Successfully!,Groupe de taux mis à jour avec succès!
Rate Group Added Successfully!,Groupe de taux ajouté avec succès!
Duplicate Rate Group Added Successfully!,Le groupe de taux en double a été ajouté avec succès!
Routing Prefix (Enterprise),Préfixe de routage (entreprise)
Priority (Enterprise),Priorité (entreprise)
Percentage (WIP) (Enterprise),Pourcentage (WIP) (Entreprise)
LCR,LCR
Percentage,Pourcentage
Tax removed successfully!,Taxe supprimée avec succès!
Tax added successfully!,Taxe ajoutée avec succès!
Tax updated successfully!,Taxe mise à jour avec succès!
Charges List,Liste des frais
Trunk Updated Successfully!,Le coffre a été mis à jour avec succès!
Trunk Added Successfully!,Le coffre a été ajouté avec succès!
Trunk removed successfully!,Le coffre a bien été supprimé!
setting updated successfully!,paramètre mis à jour avec succès!
Template Updated Successfully!,Modèle mis à jour avec succès!
Template Added Successfully!,Modèle ajouté avec succès!
Country Updated successfully!,Pays mis à jour avec succès!
Country Added successfully!,Pays ajouté avec succès!
Country removed successfully!,Pays supprimé avec succès!
Currency Updated Successfully!,La devise a été mise à jour avec succès!
My Rates,Mes tarifs
Cost / Min,Coût / Min
Purchase,Acheter
Available DIDs,DID disponibles
New IP,Nouvelle IP
Digits,Chiffres
Email Address,Adresse e-mail
Call Forward,Renvoi d'appel
If Busy:,Si occupé:
If SIP Not Registered:,Si SIP n'est pas enregistré:
If No Answer:,Si aucune réponse:
Pay Now,Payez maintenant
Pay with Account,Payer avec votre compte
"Please wait, your order is being processed and you will be redirected to the paypal website.","Veuillez patienter, votre commande est en cours de traitement et vous serez redirigé vers le site paypal."
Coupon Number:,Numéro de coupon:
